Unnamed: 0,type_estate,district,price_per_sqm,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage
0,3,11,"~173,12 triệu/m²",13/05/2024,80.0,"13,85 tỷ",252,294,6,4,4,12.181061122472167,6.78865638058502
1,6,11,"~36,8 triệu/m²",11/05/2024,625.0,23 tỷ,252,294,13,12,4,40.0,10.0
3,4,10,"~158,51 triệu/m²",13/05/2024,220.8,35 tỷ,252,114,3,2,3,10.0,6.3
4,3,12,,12/05/2024,220.0,Thỏa thuận,139,146,6,6,4,12.181061122472167,6.78865638058502
5,3,11,~130 triệu/m²,13/05/2024,100.0,13 tỷ,139,146,6,6,4,12.181061122472167,6.78865638058502
7,5,12,"~168,75 triệu/m²",11/05/2024,32.0,"5,4 tỷ",252,294,3,3,4,3.0,5.0
9,6,22,,12/05/2024,89.0,Thỏa thuận,252,114,3,6,4,12.181061122472167,6.78865638058502
10,4,2,"~241,67 triệu/m²",10/05/2024,120.0,29 tỷ,252,294,6,6,5,12.181061122472167,5.0
11,3,11,~125 triệu/m²,10/05/2024,200.0,25 tỷ,252,146,6,6,4,12.181061122472167,6.78865638058502
12,3,8,~200 triệu/m²,10/05/2024,80.0,16 tỷ,252,294,25,25,7,15.0,18.0
13,3,14,"~249,15 triệu/m²",10/05/2024,236.0,"58,8 tỷ",139,146,6,6,4,12.181061122472167,6.78865638058502
15,3,14,"~213,78 triệu/m²",10/05/2024,283.0,"60,5 tỷ",252,146,5,4,4,15.0,18.0
16,3,11,,10/05/2024,225.0,Thỏa thuận,252,146,6,6,4,12.181061122472167,6.78865638058502
17,3,8,,08/05/2024,135.0,Thỏa thuận,139,146,6,6,5,12.181061122472167,7.5
18,5,21,"~212,86 triệu/m²",08/05/2024,70.0,"14,9 tỷ",252,146,5,4,4,12.181061122472167,6.78865638058502
19,3,11,"~123,33 triệu/m²",09/05/2024,120.0,"14,8 tỷ",252,146,6,6,4,13.5,6.0
20,3,11,"~140,62 triệu/m²",08/05/2024,160.0,"22,5 tỷ",252,146,8,6,4,12.181061122472167,5.0
21,3,11,,08/05/2024,170.0,Thỏa thuận,139,146,6,6,4,12.181061122472167,6.78865638058502
22,3,11,"~169,31 triệu/m²",08/05/2024,189.0,32 tỷ,182,42,5,4,4,10.0,9.0
24,3,11,,08/05/2024,243.0,Thỏa thuận,252,114,6,6,3,32.0,20.0
25,5,24,"~177,78 triệu/m²",08/05/2024,36.0,"6,4 tỷ",178,146,7,7,6,12.181061122472167,6.78865638058502
26,3,11,"~388,89 triệu/m²",08/05/2024,180.0,70 tỷ,252,42,6,6,4,44.0,10.0
27,4,1,"~441,67 triệu/m²",07/05/2024,60.0,"26,5 tỷ",252,42,5,5,5,10.0,4.0
28,5,27,~126 triệu/m²,08/05/2024,25.0,"3,15 tỷ",139,146,4,6,5,12.181061122472167,6.78865638058502
31,3,10,,07/05/2024,400.0,Thỏa thuận,139,114,6,7,4,13.0,20.0
32,5,12,"~232,94 triệu/m²",07/05/2024,85.0,"19,8 tỷ",139,80,6,6,8,7.0,4.68
33,6,10,"~157,9 triệu/m²",04/05/2024,95.0,15 tỷ,178,117,8,5,5,22.5,5.0
34,5,1,"~294,44 triệu/m²",07/05/2024,54.0,"15,9 tỷ",178,294,3,3,4,12.181061122472167,6.78865638058502
35,5,27,"~126,67 triệu/m²",13/05/2024,45.0,"5,7 tỷ",252,294,5,3,4,2.0,6.2
36,5,4,"~216,18 triệu/m²",07/05/2024,68.0,"14,7 tỷ",252,392,15,6,7,12.181061122472167,6.3
37,5,4,"~341,67 triệu/m²",12/05/2024,60.0,"20,5 tỷ",252,294,6,6,5,12.181061122472167,4.2
38,3,10,"~253,33 triệu/m²",09/05/2024,75.0,19 tỷ,139,80,6,6,5,10.0,6.0
