,link
0,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-duong-noi-prj-khu-do-thi-geleximco-le-trong-tan/chinh-chu-ban-can-dep-c49-o20-kdt-geximco-80m-4-g-hoan-thien-vip-pr39840842
1,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-tran-phu-phuong-mo-lao/cc-chuyen-nhuong-625m-san-kinh-doanh-mat-ha-dong-so-do-lau-dai-23-ty-pr39824404
2,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-chi-thanh-phuong-lang-thuong/ban-ngo-76-45m-4-tang-5-45-ty-dong-da-pr39837906
3,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-duc-canh-phuong-hoang-van-thu-4/ban-co-via-he-dien-tich-220-8-m2-gia-158-tr-m2-pr39832145
4,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-duong-noi-prj-khu-do-thi-geleximco-le-trong-tan/bang-hang-gia-dau-tu-moi-nhat-thang-5-100m2-gia-13-ty-pr39832314
5,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-co-linh-phuong-long-bien-prj-him-lam-vinh-tuy/-quy-dac-dinh-kim-cuong-dang-cap-nhat-viet-nam-mat-san-golf-119ha-gan-pho-co-pr39648195
6,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-duong-noi-prj-khu-do-thi-geleximco-le-trong-tan/ban-khan-cap-vuon-c40-dien-tich-114m-canh-truong-has-gia-chi-nhinh-16-ty-bao-thue-phi-pr39832082
7,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-le-trong-tan-phuong-duong-noi-prj-khu-do-thi-geleximco-le-trong-tan/ban-lk-100m-nhinh-13-ty-song-lap-200m-gia-22-ty-pr39728969
8,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-tran-phu-thi-tran-thuong-tin-prj-him-lam-thuong-tin/shop-mat-lon-gia-tot-can-dep-cuoi-cung-suat-dac-biet-bo-qua-la-phi-mot-doi-pr39343388
9,https://batdongsan.com.vn/ban-nha-rieng-duong-bo-de-phuong-bo-de/ban-lo-goc-mt5m-dt32m2-tai-de-pr39823097
10,https://batdongsan.com.vn/ban-nha-mat-pho-duong-xuan-dinh-phuong-xuan-dinh/ban-ph-dt-65m-mt-5m-5-tang-thang-may-dong-tien-30tr-th-gia-13-ty-pr39807049
11,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-to-huu-phuong-duong-noi-prj-khu-do-thi-moi-duong-noi/ban-can-goc-nam-cuong-gan-ho-cong-vien-18ha-aeon-nhat-ban-19-ty-0989695954-pr35445673
12,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-dai-mo-prj-vinhomes-green-villas/hang-hot-10-can-vilals-236m2-285m2-gia-58-73-ti-view-ho-cong-vien-vay-0-36-thang-pr39678437
13,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-32-xa-di-trach-prj-hinode-royal-park/chu-ban-toa-can-ho-7-tang-25-phong-cho-thue-khep-kin-goc-mat-tien-18m-pr39347052
