pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,house_orientation,balcony_orientation,entrance,frontage
39431418,Nhà biệt thự liền kề,Gia Lâm,15/05/2024,"192,5 m²",Thỏa thuận,Đang chờ sổ,Không nội thất.,4 phòng,3 phòng,,,,,
39852591,Nhà biệt thự liền kề,Thanh Xuân,15/05/2024,150 m²,50 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,5 phòng,5 phòng,3 tầng,,,20 m,"11,5 m"
39653437,Nhà riêng,Hai Bà Trưng,15/05/2024,60 m²,"12,3 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,6 phòng,,6 tầng,,,,"5,6 m"
39796278,Nhà riêng,Ba Đình,09/05/2024,102 m²,"17,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,,5 tầng,,,,
39796282,Nhà riêng,Ba Đình,09/05/2024,62 m²,"13,2 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,6 phòng,,5 tầng,Đông - Bắc,,,
38474673,Nhà riêng,Nam Từ Liêm,13/05/2024,32 m²,"3,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,3 phòng,3 phòng,5 tầng,,,3 m,5 m
39852310,Nhà riêng,Hai Bà Trưng,15/05/2024,85 m²,"16,7 tỷ",,,4 phòng,,7 tầng,,,,
39857717,Nhà mặt phố,Sơn Trà,15/05/2024,140 m²,"11,6 tỷ",Sổ đỏ/ Sổ hồng,,12 phòng,12 phòng,6 tầng,Đông,Đông,15 m,10 m
39475998,Nhà riêng,Long Biên,08/05/2024,95 m²,11 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,4 tầng,,,5 m,5 m
38805971,Nhà riêng,Hoài Đức,14/05/2024,33 m²,3 tỷ,Sổ đỏ/ Sổ hồng,Cơ bản,3 phòng,3 phòng,4 tầng,,,2 m,"3,4 m"
39524600,Nhà riêng,Long Biên,09/05/2024,38 m²,"6,8 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ.,3 phòng,4 phòng,6 tầng,,,6 m,
39780731,Nhà riêng,Long Biên,07/05/2024,45 m²,"13,95 tỷ",Sổ đỏ.,,,,7 tầng,,,,
39528474,Nhà mặt phố,Tây Hồ,15/05/2024,60 m²,24 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,6 phòng,6 phòng,6 tầng,,,8 m,4 m
39781734,Shophouse/Nhà phố thương mại,Gò Vấp,07/05/2024,96 m²,"10,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,5 phòng,4 tầng,,,8 m,4 m
39413331,Nhà riêng,Long Biên,10/05/2024,105 m²,"12,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,5 phòng,,3 tầng,,,17 m,10 m
39746377,Nhà mặt phố,Hoàn Kiếm,15/05/2024,40 m²,32 tỷ,Sổ đỏ/ Sổ hồng,,,,5 tầng,,,,
39807177,Nhà riêng,Hoài Đức,10/05/2024,57 m²,10 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,18 phòng,18 phòng,8 tầng,Đông,Đông,"2,5 m","4,2 m"
39637444,Nhà riêng,Bắc Từ Liêm,06/05/2024,66 m²,"8,5 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,3 phòng,2 phòng,2 tầng,Nam,Nam,5 m,4 m
39538904,Nhà riêng,Ba Đình,15/05/2024,85 m²,"17,8 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,5 phòng,6 phòng,6 tầng,,,8 m,5 m
39772248,Nhà mặt phố,Cầu Giấy,07/05/2024,52 m²,"28,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,8 phòng,5 phòng,7 tầng,Tây - Bắc,Tây - Bắc,15 m,5 m
39570512,Nhà riêng,Hoàng Mai,15/05/2024,30 m²,"3,9 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ.,3 phòng,4 phòng,5 tầng,,,8 m,"4,1 m"
39778317,Nhà riêng,Cầu Giấy,07/05/2024,52 m²,"14,8 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,3 phòng,,5 tầng,,,,
39782527,Nhà riêng,Cầu Giấy,07/05/2024,78 m²,"12,58 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,3 phòng,5 tầng,Đông - Bắc,,"2,5 m","6,7 m"
39782924,Nhà riêng,Cầu Giấy,07/05/2024,60 m²,"17,5 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,4 phòng,3 phòng,5 tầng,,,,
39764143,Nhà riêng,Nam Từ Liêm,06/05/2024,65 m²,"10,7 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,14 phòng,14 phòng,6 tầng,,,2 m,
39442391,Nhà riêng,Hai Bà Trưng,07/05/2024,100 m²,"25,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,,,7 tầng,,,,"5,2 m"
39794443,Nhà riêng,Ba Đình,08/05/2024,36 m²,"10,3 tỷ",Sổ đỏ/ Sổ hồng,"Đầy đủ thang máy, điều hoà, nóng lạnh.",3 phòng,5 phòng,7 tầng,,,"3,2 m",4 m
39829686,Nhà riêng,Đống Đa,12/05/2024,55 m²,"18,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,12 phòng,,8 tầng,Tây - Bắc,,,
39455879,Nhà mặt phố,Hai Bà Trưng,15/05/2024,48 m²,14 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,,,3 tầng,,,,
39764372,Nhà riêng,Nam Từ Liêm,06/05/2024,58 m²,9 tỷ,Sổ đỏ/ Sổ hồng.,,12 phòng,12 phòng,6 tầng,,,2 m,
39835665,Nhà riêng,Hoài Đức,13/05/2024,40 m²,"2,9 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,3 phòng,4 phòng,5 tầng,,,3 m,"3,5 m"
39697474,Nhà riêng,Long Biên,13/05/2024,33 m²,4 tỷ,Sổ đỏ.,Đầy đủ.,3 phòng,4 phòng,5 tầng,,,5 m,4 m
39665773,Nhà mặt phố,Hoàng Mai,15/05/2024,120 m²,69 tỷ,Sổ đỏ/ Sổ hồng.,Nội thất cao cấp.,8 phòng,8 phòng,10 tầng,,,60 m,
39826405,Nhà riêng,Hoài Đức,12/05/2024,34 m²,"3,05 tỷ",Sổ đỏ,Cơ bản,3 phòng,4 phòng,5 tầng,,,3 m,"3,5 m"
39852317,Nhà riêng,Long Biên,15/05/2024,60 m²,"15,9 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,6 tầng,Đông - Bắc,Đông - Bắc,6 m,"4,6 m"
39826469,Nhà riêng,Hoài Đức,12/05/2024,39 m²,"2,95 tỷ",Sổ đỏ,Cơ bản,3 phòng,4 phòng,4 tầng,,,2 m,"3,5 m"
39821208,Nhà riêng,Tây Hồ,11/05/2024,280 m²,88 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,40 phòng,40 phòng,,,,4 m,6 m
39506381,Nhà riêng,Bắc Từ Liêm,07/05/2024,121 m²,"39,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,48 phòng,50 phòng,9 tầng,Đông - Bắc,Đông - Bắc,10 m,5 m
39423675,Nhà riêng,Hoài Đức,11/05/2024,33 m²,"3,1 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,3 phòng,3 phòng,5 tầng,,,3 m,"3,5 m"
39852576,Nhà riêng,Bắc Từ Liêm,15/05/2024,55 m²,"12,5 tỷ",,,,,,,,,"4,5 m"
39594831,Nhà riêng,Ba Đình,15/05/2024,45 m²,"12,9 tỷ",,Đầy đủ nội thất đẹp toàn gỗ Lim.,4 phòng,4 phòng,5 tầng,,,8 m,4 m
39674929,Nhà riêng,Ba Đình,15/05/2024,42 m²,"7,5 tỷ",Sổ đỏ/ Sổ hồng,,4 phòng,,4 tầng,,,,
39659147,Nhà riêng,Hoài Đức,09/05/2024,62 m²,"10,3 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,16 phòng,17 phòng,7 tầng,,,"3,5 m","4,5 m"
39495296,Nhà riêng,Bắc Từ Liêm,06/05/2024,103 m²,32 tỷ,Sổ đỏ/ Sổ hồng.,Đầy đủ.,45 phòng,45 phòng,9 tầng,Đông - Bắc,Đông - Bắc,9 m,"4,2 m"
39793996,Nhà riêng,Tây Hồ,08/05/2024,39 m²,"6,5 tỷ",,,,,6 tầng,,,2 m,"3,6 m"
39760670,Nhà riêng,Bắc Từ Liêm,06/05/2024,30 m²,"7,35 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,3 phòng,3 phòng,4 tầng,Tây - Nam,Tây - Nam,11 m,
39495472,Nhà riêng,Bắc Từ Liêm,06/05/2024,124 m²,21 tỷ,Sổ đỏ/ Sổ hồng,Cơ bản.,11 phòng,6 phòng,6 tầng,Tây - Nam,Tây - Nam,6 m,8 m
39630250,Nhà riêng,Đống Đa,15/05/2024,65 m²,"12,95 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,5 tầng,,,4 m,"4,5 m"
39666384,Nhà riêng,Bắc Từ Liêm,09/05/2024,36 m²,"7,7 tỷ",Sổ đỏ,,3 phòng,5 phòng,6 tầng,,,5 m,3 m
39852303,Nhà riêng,Hà Đông,15/05/2024,50 m²,"7,95 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,4 tầng,,,5 m,6 m
39830973,Nhà riêng,Long Biên,13/05/2024,35 m²,"4,2 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản.,3 phòng,,4 tầng,,,5 m,"3,3 m"
