pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage
39815613,Nhà riêng,Cầu Giấy,10/05/2024,65 m²,"14,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,,,8 tầng,,"5,4 m"
39745141,Nhà riêng,Tây Hồ,13/05/2024,50 m²,"7,85 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,6 phòng,4 phòng,5 tầng,,
39840861,Nhà riêng,Cầu Giấy,13/05/2024,45 m²,"13,5 tỷ",Sổ đỏ/ Sổ hồng,,3 phòng,,5 tầng,,
39162804,Nhà riêng,Ba Đình,13/05/2024,66 m²,"15,6 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,20 phòng,21 phòng,9 tầng,,
30881356,Nhà riêng,Hoàng Mai,13/05/2024,50 m²,"8,5 tỷ",Sổ đỏ chính chủ.,Đầy đủ tiện ích.,4 phòng,5 phòng,5 tầng,4 m,"3,4 m"
39840530,Nhà riêng,Hoàng Mai,13/05/2024,30 m²,"4,58 tỷ",Sổ đỏ/ Sổ hồng,,3 phòng,4 phòng,5 tầng,,
39830912,Nhà riêng,Bắc Từ Liêm,12/05/2024,30 m²,5 tỷ,Sổ đỏ/ Sổ hồng,Cơ bản,3 phòng,4 phòng,5 tầng,,
39431686,Nhà riêng,Ba Đình,10/05/2024,33 m²,"3,3 tỷ",,,2 phòng,1 phòng,1 tầng,,
39768505,Nhà riêng,Nam Từ Liêm,06/05/2024,54 m²,12 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,7 phòng,5 phòng,5 tầng,"5,5 m","4,1 m"
37996765,Nhà riêng,Nam Từ Liêm,06/05/2024,62 m²,"11,8 tỷ",Sổ đỏ/ Sổ hồng.,Đầy đủ,4 phòng,4 phòng,5 tầng,5 m,4 m
39840440,Nhà riêng,Cầu Giấy,13/05/2024,31 m²,"6,3 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,5 tầng,3 m,5 m
39840441,Nhà riêng,Hà Đông,13/05/2024,40 m²,"10,2 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,5 tầng,,4 m
39840763,Nhà riêng,Thanh Xuân,13/05/2024,102 m²,23 tỷ,Sổ đỏ/ Sổ hồng,,,,4 tầng,,"4,2 m"
39840442,Nhà mặt phố,Cầu Giấy,13/05/2024,100 m²,50 tỷ,,,,,10 tầng,,
36379809,Nhà biệt thự liền kề,Bắc Từ Liêm,13/05/2024,116 m²,25 tỷ,Hợp đồng mua bán,,5 phòng,5 phòng,4 tầng,"11,5 m",7 m
39817032,Nhà riêng,Cầu Giấy,11/05/2024,42 m²,"9,6 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,5 tầng,6 m,4 m
39840429,Nhà riêng,Hà Đông,13/05/2024,45 m²,5 tỷ,Sổ đỏ,Đầy đủ,3 phòng,2 phòng,3 tầng,,"4,5 m"
38416716,Nhà riêng,Hoàng Mai,10/05/2024,66 m²,11 tỷ,,,5 phòng,4 phòng,4 tầng,16 m,5 m
39840427,Nhà riêng,Bắc Từ Liêm,13/05/2024,45 m²,"5,65 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ.,3 phòng,2 phòng,2 tầng,,"6,2 m"
39840423,Nhà riêng,Hoàng Mai,13/05/2024,36 m²,"4,45 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản.,3 phòng,3 phòng,4 tầng,,
39723944,Nhà riêng,Bắc Từ Liêm,13/05/2024,89 m²,16 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,,4 phòng,4 tầng,9 m,"4,5 m"
39837352,Shophouse/Nhà phố thương mại,Hoàng Mai,13/05/2024,75 m²,32 tỷ,Hợp đồng mua bán,Cơ bản.,5 phòng,4 phòng,3 tầng,30 m,7 m
39707556,Nhà riêng,Tây Hồ,07/05/2024,69 m²,"9,6 tỷ",,,6 phòng,6 phòng,6 tầng,3 m,6 m
36945792,Nhà biệt thự liền kề,Hoàng Mai,13/05/2024,99 m²,33 tỷ,,,,,4 tầng,,"6,6 m"
39833298,Nhà riêng,Cầu Giấy,13/05/2024,60 m²,"16,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,5 phòng,6 tầng,7 m,6 m
39840842,Nhà biệt thự liền kề,Hà Đông,13/05/2024,80 m²,"13,85 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,6 phòng,4 phòng,4 tầng,,
39724057,Shophouse/Nhà phố thương mại,Hà Đông,13/05/2024,80 m²,"13,99 tỷ",Sổ đỏ/ Sổ hồng,,4 phòng,5 phòng,5 tầng,,5 m
39398434,Nhà riêng,Hà Đông,13/05/2024,50 m²,"8,4 tỷ",Sổ đỏ,Đầy đủ,6 phòng,4 phòng,5 tầng,"11,5 m",4 m
39589800,Nhà riêng,Nam Từ Liêm,13/05/2024,31 m²,"3,8 tỷ",Sổ đỏ/ Sổ hồng.,Cơ bản,3 phòng,4 phòng,5 tầng,2 m,"4,2 m"
39801281,Nhà riêng,Hà Đông,09/05/2024,24 m²,"3,4 tỷ",Sổ đỏ/ Sổ hồng,,,,4 tầng,,
39840497,Nhà mặt phố,Hoàng Mai,13/05/2024,140 m²,18 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ.,2 phòng,2 phòng,1 tầng,8 m,7 m
39293998,Nhà mặt phố,Hà Đông,13/05/2024,40 m²,"8,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,,,,,
39759237,Nhà riêng,Đống Đa,06/05/2024,39 m²,"7,99 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,3 phòng,4 phòng,6 tầng,,4 m
