pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage,price_per_sqm
39815613,Nhà riêng,Cầu Giấy,2024-05-10,65.0,14500000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,-1,-1,8,-1.0,5.4,223076923.0
39745141,Nhà riêng,Tây Hồ,2024-05-13,50.0,7850000000.0,Sổ đỏ/ sổ hồng,Cơ bản,6,4,5,-1.0,-1.0,157000000.0
39840861,Nhà riêng,Cầu Giấy,2024-05-13,45.0,13500000000.0,Sổ đỏ/ sổ hồng,Khác,3,-1,5,-1.0,-1.0,300000000.0
39162804,Nhà riêng,Ba Đình,2024-05-13,66.0,15600000000.0,Sổ đỏ/ sổ hồng,Cơ bản,20,21,9,-1.0,-1.0,236363636.0
30881356,Nhà riêng,Hoàng Mai,2024-05-13,50.0,8500000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,4,5,5,4.0,3.4,170000000.0
39840530,Nhà riêng,Hoàng Mai,2024-05-13,30.0,4580000000.0,Sổ đỏ/ sổ hồng,Khác,3,4,5,-1.0,-1.0,152666667.0
39830912,Nhà riêng,Bắc Từ Liêm,2024-05-12,30.0,5000000000.0,Sổ đỏ/ sổ hồng,Cơ bản,3,4,5,-1.0,-1.0,166666667.0
39431686,Nhà riêng,Ba Đình,2024-05-10,33.0,3300000000.0,Khác,Khác,2,1,1,-1.0,-1.0,100000000.0
39768505,Nhà riêng,Nam Từ Liêm,2024-05-06,54.0,12000000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,7,5,5,5.5,4.1,222222222.0
37996765,Nhà riêng,Nam Từ Liêm,2024-05-06,62.0,11800000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,4,4,5,5.0,4.0,190322581.0
39840440,Nhà riêng,Cầu Giấy,2024-05-13,31.0,6300000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,4,4,5,3.0,5.0,203225806.0
39840441,Nhà riêng,Hà Đông,2024-05-13,40.0,10200000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,4,4,5,-1.0,4.0,255000000.0
39840763,Nhà riêng,Thanh Xuân,2024-05-13,102.0,23000000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,4,-1.0,4.2,225490196.0
39840442,Nhà mặt phố,Cầu Giấy,2024-05-13,100.0,50000000000.0,Khác,Khác,-1,-1,10,-1.0,-1.0,500000000.0
36379809,Nhà biệt thự liền kề,Bắc Từ Liêm,2024-05-13,116.0,25000000000.0,Hợp đồng mua bán,Khác,5,5,4,11.5,7.0,215517241.0
39817032,Nhà riêng,Cầu Giấy,2024-05-11,42.0,9600000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,4,4,5,6.0,4.0,228571429.0
