pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage,price_per_sqm
39815613,2,4,2024-05-10,65.0,14500000000.0,2,3,4,4,8,6.0,5.4,223076923.0
39745141,2,26,2024-05-13,50.0,7850000000.0,2,0,6,4,5,6.0,5.0,157000000.0
39840861,2,4,2024-05-13,45.0,13500000000.0,2,1,3,4,5,6.0,5.0,300000000.0
39162804,2,1,2024-05-13,66.0,15600000000.0,2,0,20,21,9,6.0,5.0,236363636.0
30881356,2,10,2024-05-13,50.0,8500000000.0,2,3,4,5,5,4.0,3.4,170000000.0
39840530,2,10,2024-05-13,30.0,4580000000.0,2,1,3,4,5,6.0,5.0,152666667.0
39830912,2,2,2024-05-12,30.0,5000000000.0,2,0,3,4,5,6.0,5.0,166666667.0
39431686,2,1,2024-05-10,33.0,3300000000.0,1,1,2,1,1,6.0,5.0,100000000.0
39768505,2,15,2024-05-06,54.0,12000000000.0,2,3,7,5,5,5.5,4.1,222222222.0
37996765,2,15,2024-05-06,62.0,11800000000.0,2,3,4,4,5,5.0,4.0,190322581.0
39840440,2,4,2024-05-13,31.0,6300000000.0,2,3,4,4,5,3.0,5.0,203225806.0
39840441,2,11,2024-05-13,40.0,10200000000.0,2,3,4,4,5,6.0,4.0,255000000.0
39840763,2,23,2024-05-13,102.0,23000000000.0,2,1,4,4,4,6.0,4.2,225490196.0
39840442,1,4,2024-05-13,100.0,50000000000.0,1,1,4,4,10,6.0,5.0,500000000.0
36379809,0,2,2024-05-13,116.0,25000000000.0,0,1,5,5,4,11.5,7.0,215517241.0
39817032,2,4,2024-05-11,42.0,9600000000.0,2,3,4,4,5,6.0,4.0,228571429.0
39840429,2,11,2024-05-13,45.0,5000000000.0,2,3,3,2,3,6.0,4.5,111111111.0
38416716,2,10,2024-05-10,66.0,11000000000.0,1,1,5,4,4,16.0,5.0,166666667.0
39840427,2,2,2024-05-13,45.0,5650000000.0,2,3,3,2,2,6.0,6.2,125555556.0
39840423,2,10,2024-05-13,36.0,4450000000.0,2,0,3,3,4,6.0,5.0,123611111.0
39723944,2,2,2024-05-13,89.0,16000000000.0,2,3,4,4,4,9.0,4.5,179775281.0
39837352,3,10,2024-05-13,75.0,32000000000.0,0,0,5,4,3,30.0,7.0,426666667.0
39707556,2,26,2024-05-07,69.0,9600000000.0,1,1,6,6,6,3.0,6.0,139130435.0
36945792,0,10,2024-05-13,99.0,33000000000.0,1,1,4,4,4,6.0,6.6,333333333.0
39833298,2,4,2024-05-13,60.0,16500000000.0,2,3,4,5,6,7.0,6.0,275000000.0
39840842,0,11,2024-05-13,80.0,13850000000.0,2,3,6,4,4,6.0,5.0,173125000.0
39724057,3,11,2024-05-13,80.0,13990000000.0,2,1,4,5,5,6.0,5.0,174875000.0
39398434,2,11,2024-05-13,50.0,8400000000.0,2,3,6,4,5,11.5,4.0,168000000.0
39589800,2,15,2024-05-13,31.0,3800000000.0,2,0,3,4,5,2.0,4.2,122580645.0
39801281,2,11,2024-05-09,24.0,3400000000.0,2,1,4,4,4,6.0,5.0,141666667.0
39840497,1,10,2024-05-13,140.0,18000000000.0,2,3,2,2,1,8.0,7.0,128571429.0
39293998,1,11,2024-05-13,40.0,8500000000.0,2,3,4,4,5,6.0,5.0,212500000.0
39759237,2,29,2024-05-06,39.0,7990000000.0,2,3,3,4,6,6.0,4.0,204871795.0
39666817,0,11,2024-05-13,75.0,14300000000.0,2,3,4,5,4,6.0,5.0,190666667.0
39759220,2,29,2024-05-06,30.0,5300000000.0,2,3,3,4,3,3.0,3.6,176666667.0
39840486,2,15,2024-05-13,53.0,9000000000.0,2,3,12,12,7,6.0,5.0,169811321.0
39840487,2,10,2024-05-13,42.0,4780000000.0,2,0,2,2,3,6.0,5.0,113809524.0
39581433,1,23,2024-05-13,90.0,53800000000.0,2,3,6,6,6,30.0,6.0,597777778.0
39840482,0,11,2024-05-13,50.0,9400000000.0,2,1,6,7,5,6.0,4.0,188000000.0
39757309,2,4,2024-05-07,67.0,9000000000.0,2,1,8,6,5,5.0,4.0,134328358.0
32603678,0,11,2024-05-13,170.0,27000000000.0,2,1,5,5,3,27.0,9.0,158823529.0
39268228,2,8,2024-05-08,56.0,1900000000.0,2,0,3,3,3,6.0,5.0,33928571.0
39840477,2,10,2024-05-13,34.0,4550000000.0,2,3,3,3,3,6.0,5.0,133823529.0
39240799,1,10,2024-05-13,140.0,21000000000.0,1,1,6,7,5,14.0,6.0,150000000.0
38319102,2,10,2024-05-13,150.0,25000000000.0,1,1,8,6,5,14.0,6.0,166666667.0
39840811,0,12,2024-05-13,88.6,33500000000.0,2,3,4,4,5,6.0,5.0,378103837.0
39840803,3,10,2024-05-13,72.0,9000000000.0,2,2,4,4,5,6.0,5.0,125000000.0
39087281,3,15,2024-05-13,294.0,24000000000.0,2,3,4,4,2,6.0,5.0,81632653.0
39073285,1,29,2024-05-13,117.0,76167000000.0,2,3,4,4,7,6.0,5.05,651000000.0
